<<<<<<< HEAD
HS;Descripción HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ENA;ACTIVOSPRODUCTIVO;ASISTENCIATECNICA;ADT
01;Animales vivos;0201;GANADERIA;;Ganadería;GANADERIA;
01;Animales vivos;0201;GANADERIA;;;GANADERIA ;
01;Animales vivos;0201;GANADERIA;;;GANADERIA DP;
01;Animales vivos;0201;GANADERIA;;;GANADERÍA DP;
01;Animales vivos;0201;GANADERIA;;Productivo-sistemas ganaderos;;
01;Animales vivos;02;PECUARIO;;Pecuario;;
01;Animales vivos;02;PECUARIO;;Productivo-Pecuario;;
01;Animales vivos;0201;GANADERIA;;;;GANADERIA
01;Animales vivos;0201;GANADERIA;;;;GANADERO
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA DE DOBLE PROPÓSITO
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA DOBLE PROPÓSITO
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA DOBLE PROPÓSITO CULTIVOS DE CACAO
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA DOBLE PROPÓSITO CULTIVOS DE MAÍZ
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA EXTENSIVA
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA INTENSIVA
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA Y CRÍA DE ESPECIES MENORES
01;Animales vivos;0201;GANADERIA;;;;GANADERÍA.
01;Animales vivos;0201;GANADERIA;;;;GANADO
01;Animales vivos;0201;GANADERIA;;;;GANADO DOBLE PROPÓSITO
01;Animales vivos;0201;GANADERIA;;;;GANADO LECHERO
01;Animales vivos;02;PECUARIO;;;;PECUARIA
01;Animales vivos;02;PECUARIO;;;;PECUARIOS COMO VACAS PARA LECHE
0105;"Gallos, gallinas, patos, gansos, pavos ""gallipavos"" y pintadas, de las especies domésticas, ...";0202;AVICULTURA;;Avicultura;;
0105;"Gallos, gallinas, patos, gansos, pavos ""gallipavos"" y pintadas, de las especies domésticas, ...";0202;AVICULTURA;;;;AVICULTURA
0105;"Gallos, gallinas, patos, gansos, pavos ""gallipavos"" y pintadas, de las especies domésticas, ...";0202;AVICULTURA;;;;AVÍCOLA
0106;Animales vivos, n.c.o.p. (exc. caballos, asnos, mulos, burdéganos, bovinos, porcinos, ovinos, ...;0203;APICULTURA;;Apicultura;;
03;Pescados y crustáceos, moluscos y demás invertebrados acuáticos;06;ACUICULTURA;;Acuícola;ACUICULTURA;
03;Pescados y crustáceos, moluscos y demás invertebrados acuáticos;06;ACUICULTURA;;Pesca Artesanal;;
04;"Leche y productos lácteos; huevos de ave; miel natural; productos comestibles de origen animal ...";020103;LACTEO;;Productivo-Transformación Lacteo;;
060110;Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;010201;CEBOLLA;;;;
060110;Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo ...;010202;CEBOLLA DE BULBO;CEBOLLA DE BULBO;;;
